x,y,z
-0.21293314734096497,0.057711077483406259,-0.11512469784297408
-0.036277906855168823,-0.29587654729433832,0.80344414422219079
0.27007147370789486,-0.51074369286749688,1.7307963786950853
0.76034094919117268,-0.990579239997887,2.4583908324393606
1.1586994825121639,-0.57346575953434187,3.2752915750916958
1.6897252011084674,-0.83344571853911242,4.0817790871494815
2.3059877198441434,-1.1891928468898962,4.7843917035119627
2.8752731172231263,-1.2518685797709803,5.6041391578165625
3.3419108122659531,-0.79757324593714385,6.3629968593798534
3.9459976690740168,-0.26949742466342741,6.9598343552008206
3.1026687752204305,0.2521146754450091,7.0891293427763333
